title,topic_idx
내년 조선시황 환경규제영향 조정가능성,2
KOMEA 중동 수리조선시장 진출 터 닦아   ,2
신조선 발주량 감소 추세   ,2
신조선가 2008년 기록 근접   ,2
한화오션 아시아 지역 방산 시장 노크   ,2
한-투르크메니스탄 6.1K MPC 공동 건조   ,2
HD 현대의 미래 고민   ,2
견조한 수주잔량에 일본 숨통 트이나   ,2
어라어라 언제 중국이 이렇게   ,2
중국 고성장에 한계,2
신조선 건조 능력 2030년에 정점   ,2
조선업계 만만찮은 도전 직면   ,2
Philly Shipyard 한화오션 인수 논의에 함구   ,2
9월 전 세계 발주량 71척 186만CGT   ,2
해수부 선박 디지털화 총력,2
반전 카드 조선업계 손에   ,2
KRISO 임직원 ‘경영쇄신 실천 다짐’   ,2
선박시스템 대대적인 재검토 필요,2
해양플랜트·유조선 발주량 증가,2
[월간 선박뉴스 2023년 10월호]  ,2
한․중 수주 실적 격차 더 벌어져   ,2
마침내 글로벌 건조 능력 확충,2
Putin 러 최초 쇄빙LNG선 명명식 참석   ,2
조선 빅3 올 임금 및 임단협 마무리   ,2
선가 지수 31주째 상승 행진   ,2
싱가포르 FSRU 발주 준비   ,2
김동관 부회장 폴란드 대통령에 한화 첨단 기술력 어필   ,2
글로벌 발주량 지속 감소   ,2
Q-Max LNG선 새 버전 AiP 획득   ,2
삼성重 '가스텍 2023' 총 출동,2
[월간 선박뉴스 2023년 9월호],2
삼성중 Arc7 10척 선체 건조 취소   ,2
HD·한화 폴란드 FSRU 요구 사항 검토   ,2
조선업 작년이 정점?   ,2
HD현대중ㆍKAI 조선·항공우주 교육훈련 협력협약   ,2
신조선가 1년 전보다 10.8P 상승   ,2
[월간 선박뉴스 2023년 8월호],2
조선업 노동 위기 직면   ,2
prompt delivery는 추억의 단어   ,2
삼성중 캐나다 net-zero FLNG FEED 수주   ,2
6월 발주량 작년 동기 대비 49% 감소   ,2
LNG선 신조시장 쉴 틈이 없다   ,2
'25년부터 선박 친환경적으로 해체해야,2
[월간 선박뉴스 2023년 7월호],2
엘살바도르 사절단 HJ중공업 시찰   ,2
'제17회 울산 조선해양의 날 기념식' 개최,2
CIP 한국 해상풍력 발전에 3억5천만달러 투자   ,2
Eni 모잠비크 해상 FLNG 복제 작업 착수   ,2
Agalas 해저 케이블 설치선 발주,2
해상 풍력 시장에 새 강자 등장   ,2
㈜콤스 김헹과 해상풍력발전 산업 제휴   ,2
현대중 사우디 합작 조선사에 대규모 인력 파견 계획   ,2
현대베트남조선 곧 누적 수주 200척 돌파,2
Kongsberg 혁신적인 피더 ‘컨’선 기본인증(AiP) 획득   ,2
[월간 선박뉴스 2023년 6월호],2
삼성重 노르쉬핑서 기술인증 잇따라 획득   ,2
글로벌 발주량 감소,2
아트라스콥코 삼성중과 ‘스마트십 데이터 플랫폼 개발’ MOU 체결   ,2
삼성중·中 Hengli 신조선 건조 제휴   ,2
삼성重 첨단 LNG선 & '컨'선 첫 공개,2
HD현대重 수빅만 드라이 도크 확보 검토   ,2
조선 시장에 밝은 새벽   ,2
금년 4월 발주량 대폭 감소   ,2
조선소 설비 먼지 털이 개시   ,2
국내 최초 CO2 포집 저장 기술 실증 연구   ,2
조선업계 무공해 선박에 과감히 도전   ,2
[월간 선박뉴스 2023년 5월호],2
Evergreen 40억 달러 누가 잡나   ,2
해상풍력선 시장 황금 기회   ,2
신조선가 상승 행진,2
글로벌 3월 발주량 작년 동기 비 49% 감소 ,2
HD그룹 연간 200만척 자율운항 레저보트 신시장 개척   ,2
공정위 한화·대우조선 기업결합 승인 왜 머뭇거리나?,2
[월간 선박뉴스 2023년 4월호],2
QatarEnergy LNG선 2차 발주 시동   ,2
현대미포 메탄올추진선 수주 경쟁서 앞서   ,2
HD현대 권오갑 체제 3년 더   ,2
日 한화·대우조선 기업결합 승인   ,2
클락슨 선가지수 상승   ,2
[월간 선박뉴스 2023년 3월호],2
글로벌 신조선 발주량 감소 ,2
[월간 선박뉴스 2023년 2월호],2
금년 발주량 반감 예상,2
싱가포르 한화의 DSME 인수 기업결합 심사 개시   ,2
지난해 발주량 39% 감소,2
지난해 전 세계 신조 발주량 전년 대비 19% 감소[통계 표 첨부],2
韓 LNG선 시장 점유율 70%,2
[월간 선박뉴스 2023년 1월호],2
韓 조선 정신 승리   ,2
11월 발주량 전월 대비 감소   ,2
[월간 선박뉴스 2022년 12월호],2
내년 신조 시장 굴곡 예상   ,2
YTD 발주 금액 1천억불 돌파,2
척 수 줄어도 금액은 안 줄어,2
조선업계 좌불안석,2
KRISO 도장·보온 분야 세계 최우수 기관으로 우뚝   ,2
[월간 선박뉴스 2022년 11월호],2
10월 발주량 1년 전보다 19% 증가   ,2
中 무섭게 韓 추격,2
신조선 발주세 꺾여,2
신조 발주선 60%가 대체 연료 선택,2
[월간 선박뉴스 2022년 10월호],2
韓 9월 발주량 61% 차지   ,2
국내 수리조선업 유럽 시장 공략   ,2
획기적인  해체기술 나온다 ,2
[월간 선박뉴스 2022년 9월호],2
YTD 신조선 750억달러 발주,2
대우조선 ‘가스텍2022’서 DNV와 MOU   ,2
글로벌 선박 발주 숨 고르기   ,2
삼성重 伊 가스텍서 첨단 에너지기술 선 보인다   ,2
발주 주춤해도 선가는 강세,2
中 일부 업체 선가 인하 움직임   ,2
[휴간 안내],2
韓 수주량 3개월 연속 中 제쳐   ,2
Navantia조선 연말경 수소 생산 개시   ,2
대우조선 호주 인펙스 claim에 반론   ,2
국경 초월한 탄소 사업 시동   ,2
[월간 선박뉴스 2022년 8월호],2
현대중 사우디 IMI VLCC 완공 작업 적극 지원,2
KRISO 친환경선박 상용화 집중지원   ,2
내년에 전 선종 발주 증가,2
[월간 선박뉴스 2022년 7월호],2
글로벌 발주량 61%가 대체 연료 추진선,2
韓 소쿠리에 상반기 글로벌 발주량 '절반'   ,2
韓 상반기 LNG선 71% 수주,2
YTD 신조선 발주량 45% 감소,2
KRISO 2년 연속 공정채용 우수기관 영예   ,2
대우조선 탄소중립 위한 글로벌 기술 협력,2
Multi-year 해운 수퍼 사이클 온다,2
[월간 선박뉴스 2022년 6월호],2
5月 발주선 절반이 한국으로,2
年富力强 한․중 조선업계,2
러 LNG선 계약 해지 일파만파,2
KRISO KOLAS 국제공인시험기관 인정범위 확대 획득,2
DSME 18일 기술이전 상담회,2
韓 수주잔량 6년 來 최고,2
[월간 선박뉴스 2022년 5월호],2
조선업체들 케미컬탱커 건조에 무관심,2
조선 빅3 글로벌 점유율 증가,2
FuelEU Maritime 신조선 발주 위축 우려 ,2
또 하나의 경쟁자,2
1분기 발주선 61%가 대체 연료 추진선,2
韓 조선 쾌속질주...1분기 수주 점유율 50%,2
[월간 선박뉴스 2022년 4월호],2
신조선가 13년 만에 최고,2
현대중 말레이시아 다목적지원함 수주전 참여,2
조선 수퍼 사이클 온다,2
선가 상승 행진,2
니켈강 신조선 시장에 강짜,2
LNG선 2026 인도 슬롯 거의 증발,2
최근 한 주 사이에 25억 달러 발주,2
강원도-한국조선해양 액화수소 해양인프라 구축 ,2
韓 2月 수주 中에 더블 스코어,2
[월간 선박뉴스 2022년 3월호],2
조선3사 러 수금 어떻게?,2
러 발주 선박 대금 못 받을라,2
탱커가 ‘컨’선 슬롯에 도전,2
[월간 선박뉴스 2022년 2월호],2
韓(45%)·中(48%) 1月 신조선시장 독식,2
EU 대우조선·현대중공업 합병 불허 방침,2
'21 글로벌 발주 전년대비 2倍 ↑,2
[표] 2021년 LNG선 발주 현황 ,2
조선 빅3 LNG선 시장 대 청소,2
금년 신조선 발주량 감소 ,2
韓 돈 되는 선박 수주 부동의 1위,2
[월간 선박뉴스 2022년 1월호],2
韓 수주 1위 中에 ,2
새해 발주량 15% 감소 전망,2
Keppel 암모니아 벙커링선 개발,2
신조 시장 2022년에도 활발,2
LNG선 건조시장 지형 변화,2
2021 선박 투자 1470억불,2
선박 운항 지원 툴 개발된다,2
신조선 시장 동면 준비,2
1월 20일!,2
韓 수주 선가 中 3.5배,2
[월간 선박뉴스 2021년 12월호],2
韓 고부가가치선 나 잡아 봐라,2
해양플랜트 발주 기대감 상승,2
EU 현대-대우 기업 결합 불허 가능성,2
동서발전 Equinor와 해상풍력 사업모델 개발,2
10월 선박수출 6% 증가,2
韓 10月 수주량 1위 복귀,2
[월간 선박뉴스 2021년 11월호],2
오션테크 코리아 2021 부산서 개최 ,2
발주 늘고 선가 오르고,2
다 선종 or 단일 선종?,2
내년 발주량 올해보다 다소 감소 ,2
부산에 가면 보이는 것들,2
중소조선 근로자 주52시간제 압도적 반대,2
모잠비크 17척 끝내 내년으로,2
신조선 발주량 5年 사이 3.6배 증가,2
슬롯 쟁탈전 소강상태,2
현대重·대우조선 합병 가시밭길,2
[월간 선박뉴스 2021년 10월호],2
탈원전은 맞지 않는다,2
돌아오지 않는 메아리,2
Ned Project hydrogen-ready WTIV 기본인증 획득 ,2
LNG추진 PCTC 지금까지 44억불 발주,2
삼성중 수주 LNG선 BP에 용선 전망,2
韓ㆍ中 여름 대전 더블스코어,2
[월간 선박뉴스 2021년 9월호],2
10대 조선사 수주 독점 심화,2
후판가 협상 마무리 단계,2
호주 GEV C-H2 운반선 개발,2
韓 조선 누계 수주 '08년 이후 최대,2
인플레 신조선 시장에 큰 영향,2
[월간 선박뉴스 2021년 8월호],2
시그널링크-삼성重 연구소 스마트 선박 MOU 체결,2
신조선가 상승 갈림길,2
하이브리드 용접 기술 국내 개발  ,2
상반기 LNG선 수주 풍작,2
현대중그룹  ESG 경영 추진 방향 수립 ,2
상반기 글로벌 수주량 2배 껑충,2
[월간 선박뉴스 2021년 7월호],2
상반기 신조선 발주 7년 만의 최고,2
대우조선 비대면 비파괴 품질 검사 기술 개발,2
신조선가 상승세 지속 전망,2
배 지을 자리가 없다,2
