index,title,topic_idx
0,전문건설업계 “건설현장 불법행위 우리가 막겠다”,3
1,“건설현장 불법행위 막겠다”…5만 전문건설사업자 결의,3
2,삼성물산 사우디에 모듈러 제작시설 건설…네옴시티 진출 발판,3
3,“건설노조 불법행위 근절 정부 의지 강한 지금이 골든타임”,3
4,건설현장 1489곳서 노조 불법행위 2070건 신고,3
5,국회와 전문건설업체의 남은 시간은 다르다,3
6,공공 발주처도 “건설노조 불법행위 근절” 가세,3
7,건설노조 채용강요 시 형사처벌…고용부 올해 법 개정 추진,3
8,원희룡 장관 “건설현장 무법지대 방치하지 않을 것”,3
9,국토부 “발주자가 하도급사에 ‘건설노조 요구 들어주라’ 종용 시 특단조치”,3
10,국토부 건설현장 불법행위 근절 전담팀 구성…조사 활동 본격 착수,3
11,“지역경제 살려면”…지자체 지역건설 활성화 나섰다,3
12,건설노조 불법행위 신고 작년 400여건… 80명은 검찰 송치,3
13,한덕수 총리 “건설현장 불법 특단대책 마련…고질적 병폐 일소하라”,3
14,건설노조 불법행위 근절 대책 3월까지 마련,3
15,윤희근 경찰청장 “건설현장 집단적 불법행위 뿌리 뽑을것”,3
16,원희룡 장관 “건설현장 등 사회에 만연한 불법과 불공정 뿌리 뽑겠다”,3
17,신년사 - 윤학수 대한전문건설협회 중앙회장…전문건설 ‘극적 반전의 해’ 만들자,3
18,대형 건설사들 “신사업으로 위기 돌파” 스타트업 투자 확대,3
19,종합건설 긴축 시작…전문도 파장 예고,3
20,범정부 해외건설 수주지원단 출범…“연 수주 500억불 목표”,3
21,이정식 장관 “올해 사망사고 없는 종합건설업체 예방감독 제외”,3
22,내년 SOC 예산 10.7%↓…건설업계 “사회적 비용 늘 수도” 우려,3
23,정부 건설노조 불법행위와 전면전…국토부·공정위·경찰 역량 총동원,3
24,부산시 지역건설 경기 위기 극복 대응 전략 마련,3
25,화물연대 다음은 건설노조…정부 공정위 조사 등 전면대응 예고,3
26,해외건설 이대로는 중소기업의 무덤일 뿐,3
27,경찰청장 건설현장 노조 불법행위 엄단 조치키로,3
28,국토부 공공건설에 건설사업관리(PM) 시범사업 확대,3
29,국토부 건설업 지원정책 잇단 ‘용두사미’,3
30,“건설노조 불법행위 제거 위해 부처간 공동대응 논의”,3
31,국토부 2차관 “화물 운송거부로 도로건설 차질 안타까워”,3
