index,title,topic_idx
0,전기차 배터리 수명 획기적 연장... KAIST 세계 최고  전해액 개발,0
1,국내 주요 AI 기업들 ‘안전한 인공지능’ 위한 평가 데이터 구축한다,0
2,공짜로 AI 이미지 생성하세요…MS '달리3' 도입 선수치기,0
3,클라우드플레어 AI 위한 신규 개발자 플랫폼 출시,0
4,오브젠 생성형 AI 신제품 세미나,0
5,SK텔레콤 반려동물 AI 서비스 ‘엑스칼리버’ 글로벌 진출 본격화,0
6,SKT '반려동물 AI 서비스' 일본 진출,0
7,SKT 반려동물 AI 진단 서비스 '엑스칼리버' 일본 간다,0
8,삼성전자 캐나다 반도체 업체 ‘텐스토렌트’ 4나노 AI 칩 생산,0
9,톰 행크스도 당했다… 美할리우드 습격한 ‘AI 딥페이크’,0
10,[AI트랜스포메이션③] AI 물결 데이터센터 냉각 방식도 바꾼다,0
11,20년 전보다는 달라야 하지 않겠나…AI 윤리 어디까지 왔나,0
12,금리 우려에도 ‘빅테크’ 견고… 삼성 加 텐스토렌트 ‘차세대 AI칩’ 수주 [美 증시 & IT],0
13,"오픈AI와 밀월 관계 끝내나…MS ""저렴한 자체 AI 챗봇 만든다""",0
14,"오픈AI 하드웨어 기기 내놓나…""애플 전 디자이너·손정의와 'AI의 아이폰' 개발""",0
15,이동통신 3사 '통신' 특화 AI 서비스,0
16,"'프라이빗 AI' 힘주는 VM웨어…""기업·정부 관심 뜨겁다""",0
17,AI 일상화 시대…레시피도 AI가 척척 추천,0
18,대형 공공기관·인텔이 'AI·클라우드' 파트너로 베스핀글로벌 찜한 이유[테크체인저],0
19,시큐레터 이어 IPO 돌풍 이끈 한싹 클라우드 전환·AI 사업 다각화 박차,0
20,내 전세대출 심사 AI가 했다고?… 금융AI의 진화 위험 없을까,0
21,[인터뷰] 코스닥 입성한 크라우드웍스 AI 시대 '청바지' 만드는 이유,0
22,[IT돋보기] 사이버 세상의 당신 생성형AI 만나 진화 중인 '버추얼 휴먼',0
23,[워크데이라이징] 막 내린 워크데이 라이징…생성AI·ML 비전 공유 (종합),0
24,"[워크데이라이징] 단독 대표 체제 전환하는 워크데이 ""생성AI 커다란 기회""",0
25,"[인터뷰] ""생성AI 포함된 워크데이 제품 게임체인저 될 것""",0
26,추석 연휴 가게 어쩌지…KT AI로 소상공인 돕는다,0
27,AI로 '엄빠 돌봄'…'라스트 마일'의 새로운 의미가 나올 때[기자의눈],0
28,"팀 쿡 ""애플도 챗GPT 같은 생성AI 개발 중""",0
29,“개발부터 최적화까지”…VM웨어 AI 더한 '탄주'로 韓 기업 돕는다,0
30,쏟아지는 생성 AI…글로벌 사용자 1위는? [긱스],0
31,자사몰 키우는 ‘앱’ 시장 확대…AI∙숏폼·뉴스레터 ‘각양각색’,0
32,우리 할머니 美 대학생으로 바꿔볼까…최태원·백종원도 반한 'AI프로필',0
33,[르포] U+AI콜봇 돌발질문도 척척… B2B 솔루션 17종 한곳에,0
34,SKT 반려동물 AI 서비스 글로벌 진출 본격화…日 애니콤과 맞손,0
35,SKT 日 반려동물 보험그룹과 AI 헬스케어 연구 협력,0
36,SKT '에이닷'·KT '믿음'·LGU '익시'…통신업계에 부는 생성형 AI 돌풍,0
37,[AI트랜스포메이션②] NHN클라우드 데이터센터·반도체로 AI 대전환 시대 특화 전략 전개,0
38,창작자 생성 AI로 노동한 대가 받는다,0
39,"[워크데이라이징] ""AI 기능 추가된 워크데이 솔루션 사용자 경험 향상시킨다""",0
40,"[워크데이라이징] ""기업용 생성AI 보안 중요해…안전한 활용 필요하다""",0
41,오픈AI·조니 아이브·손정의 맞손… '챗GPT 아이폰' 나올까,0
42,"[K-AI 열전②] ""AI 골드러시 시대""…이통 3사도 AI로 탈통신",0
43,오픈AI 개인정보지침 한국어 버전 게시…非영어권 언어 중 유일,0
44,[K-AI 열전③] 한국판 오픈AI 있다…중소·스타트업의 세계 도전,0
45,[네이버 어벤저스] 지금은 클로바X 육아 중…MBTI ‘F’ 한스푼 넣은 AI,0
46,[인터뷰] ‘AI 석학’ 제리 카플란 “생성형 AI 시대 주인공은 GAFA 아닌 새로운 기업이 될 것”,0
47,“AI가 불평등 심화…정부가 개입해 발전 방향 전환해야”,0
