,urls,labels
64,https://n.news.naver.com/mnews/article/018/0005621275?sid=101,0
175,https://n.news.naver.com/mnews/article/082/0001242063?sid=101,0
178,https://n.news.naver.com/mnews/article/662/0000032183?sid=101,0
206,https://n.news.naver.com/mnews/article/016/0002225772?sid=101,0
251,https://n.news.naver.com/mnews/article/421/0007180326?sid=101,0
259,https://n.news.naver.com/mnews/article/003/0012213548?sid=101,0
265,https://n.news.naver.com/mnews/article/031/0000788720?sid=101,0
269,https://n.news.naver.com/mnews/article/119/0002769807?sid=101,0
870,https://n.news.naver.com/mnews/article/011/0004262499?sid=101,0
904,https://n.news.naver.com/mnews/article/009/0005216216?sid=101,0
1000,https://n.news.naver.com/mnews/article/003/0012214424?sid=101,0
1033,https://n.news.naver.com/mnews/article/009/0005216128?sid=101,0
1157,https://n.news.naver.com/mnews/article/018/0005621107?sid=101,0
1262,https://n.news.naver.com/mnews/article/648/0000021071?sid=101,0
1297,https://n.news.naver.com/mnews/article/421/0007180098?sid=101,0
1376,https://n.news.naver.com/mnews/article/421/0007179871?sid=101,0
1426,https://n.news.naver.com/mnews/article/018/0005620934?sid=101,0
1591,https://n.news.naver.com/mnews/article/011/0004262084?sid=101,0
1735,https://n.news.naver.com/mnews/article/469/0000770491?sid=101,0
1749,https://n.news.naver.com/mnews/article/469/0000770491?sid=101,0
1773,https://n.news.naver.com/mnews/article/050/0000069593?sid=101,0
1805,https://n.news.naver.com/mnews/article/022/0003875842?sid=101,0
1856,https://n.news.naver.com/mnews/article/366/0000948254?sid=101,0
1871,https://n.news.naver.com/mnews/article/215/0001134736?sid=101,0
1881,https://n.news.naver.com/mnews/article/050/0000069592?sid=101,0
1929,https://n.news.naver.com/mnews/article/417/0000962706?sid=101,0
1956,https://n.news.naver.com/mnews/article/008/0004962781?sid=101,0
1972,https://n.news.naver.com/mnews/article/658/0000058216?sid=101,0
1986,https://n.news.naver.com/mnews/article/421/0007181427?sid=101,0
1999,https://n.news.naver.com/mnews/article/011/0004262479?sid=101,0
2001,https://n.news.naver.com/mnews/article/469/0000770656?sid=101,0
2019,https://n.news.naver.com/mnews/article/014/0005101994?sid=101,0
2136,https://n.news.naver.com/mnews/article/001/0014336015?sid=101,0
2312,https://n.news.naver.com/mnews/article/421/0007180925?sid=101,0
2316,https://n.news.naver.com/mnews/article/014/0005101895?sid=101,0
2333,https://n.news.naver.com/mnews/article/417/0000962633?sid=101,0
2369,https://n.news.naver.com/mnews/article/008/0004962613?sid=101,0
2375,https://n.news.naver.com/mnews/article/215/0001134690?sid=101,0
2380,https://n.news.naver.com/mnews/article/018/0005621128?sid=101,0
2389,https://n.news.naver.com/mnews/article/003/0012213931?sid=101,0
2390,https://n.news.naver.com/mnews/article/003/0012213930?sid=101,0
2391,https://n.news.naver.com/mnews/article/003/0012213929?sid=101,0
2392,https://n.news.naver.com/mnews/article/003/0012213928?sid=101,0
2393,https://n.news.naver.com/mnews/article/003/0012213927?sid=101,0
2395,https://n.news.naver.com/mnews/article/003/0012213924?sid=101,0
2435,https://n.news.naver.com/mnews/article/003/0012213859?sid=101,0
2437,https://n.news.naver.com/mnews/article/003/0012213857?sid=101,0
2442,https://n.news.naver.com/mnews/article/003/0012213852?sid=101,0
2473,https://n.news.naver.com/mnews/article/030/0003157331?sid=101,0
2513,https://n.news.naver.com/mnews/article/003/0012213732?sid=101,0
2516,https://n.news.naver.com/mnews/article/003/0012213728?sid=101,0
2518,https://n.news.naver.com/mnews/article/003/0012213726?sid=101,0
2524,https://n.news.naver.com/mnews/article/003/0012213721?sid=101,0
2549,https://n.news.naver.com/mnews/article/011/0004262291?sid=101,0
2551,https://n.news.naver.com/mnews/article/014/0005101786?sid=101,0
2552,https://n.news.naver.com/mnews/article/008/0004962562?sid=101,0
2600,https://n.news.naver.com/mnews/article/421/0007180326?sid=101,0
2648,https://n.news.naver.com/mnews/article/032/0003261618?sid=101,0
2685,https://n.news.naver.com/mnews/article/374/0000359048?sid=101,0
2689,https://n.news.naver.com/mnews/article/001/0014334954?sid=101,0
2713,https://n.news.naver.com/mnews/article/014/0005101710?sid=101,0
2717,https://n.news.naver.com/mnews/article/016/0002225615?sid=101,0
2773,https://n.news.naver.com/mnews/article/008/0004962827?sid=101,0
2803,https://n.news.naver.com/mnews/article/421/0007181427?sid=101,0
2805,https://n.news.naver.com/mnews/article/011/0004262479?sid=101,0
2835,https://n.news.naver.com/mnews/article/421/0007181421?sid=101,0
2866,https://n.news.naver.com/mnews/article/015/0004914847?sid=101,0
2890,https://n.news.naver.com/mnews/article/421/0007180619?sid=101,0
2904,https://n.news.naver.com/mnews/article/648/0000021071?sid=101,0
3020,https://n.news.naver.com/mnews/article/016/0002225463?sid=101,0
3488,https://n.news.naver.com/mnews/article/421/0007181427?sid=101,0
3760,https://n.news.naver.com/mnews/article/421/0007180114?sid=101,0
4338,https://n.news.naver.com/mnews/article/055/0001106579?sid=101,0
4341,https://n.news.naver.com/mnews/article/055/0001106575?sid=101,0
4346,https://n.news.naver.com/mnews/article/055/0001106574?sid=101,0
4370,https://n.news.naver.com/mnews/article/449/0000261838?sid=101,0
4491,https://n.news.naver.com/mnews/article/640/0000045987?sid=101,0
4499,https://n.news.naver.com/mnews/article/015/0004915004?sid=101,0
4550,https://n.news.naver.com/mnews/article/014/0005102039?sid=101,0
4637,https://n.news.naver.com/mnews/article/009/0005216278?sid=101,0
4663,https://n.news.naver.com/mnews/article/658/0000058216?sid=101,0
4684,https://n.news.naver.com/mnews/article/015/0004914929?sid=101,0
4698,https://n.news.naver.com/mnews/article/079/0003834547?sid=101,0
4800,https://n.news.naver.com/mnews/article/640/0000045976?sid=101,0
4890,https://n.news.naver.com/mnews/article/009/0005216120?sid=101,0
4939,https://n.news.naver.com/mnews/article/032/0003261683?sid=101,0
5003,https://n.news.naver.com/mnews/article/001/0014335945?sid=101,0
5010,https://n.news.naver.com/mnews/article/001/0014335941?sid=101,0
5029,https://n.news.naver.com/mnews/article/016/0002225819?sid=101,0
5056,https://n.news.naver.com/mnews/article/016/0002225810?sid=101,0
5678,https://n.news.naver.com/mnews/article/469/0000770563?sid=102,0
5960,https://n.news.naver.com/mnews/article/018/0005621222?sid=102,0
5989,https://n.news.naver.com/mnews/article/421/0007180326?sid=102,0
7194,https://n.news.naver.com/mnews/article/001/0014335945?sid=102,0
7991,https://n.news.naver.com/mnews/article/015/0004915062?sid=102,0
8348,https://n.news.naver.com/mnews/article/421/0007181579?sid=102,0
8592,https://n.news.naver.com/mnews/article/024/0000085759?sid=102,0
8674,https://n.news.naver.com/mnews/article/003/0012213852?sid=102,0
9021,https://n.news.naver.com/mnews/article/022/0003875905?sid=102,0
9200,https://n.news.naver.com/mnews/article/055/0001106586?sid=102,0
9972,https://n.news.naver.com/mnews/article/011/0004262540?sid=105,0
9974,https://n.news.naver.com/mnews/article/003/0012214644?sid=105,0
9984,https://n.news.naver.com/mnews/article/001/0014336139?sid=105,0
9985,https://n.news.naver.com/mnews/article/001/0014336134?sid=105,0
9991,https://n.news.naver.com/mnews/article/092/0002311742?sid=105,0
9997,https://n.news.naver.com/mnews/article/003/0012213951?sid=105,0
9999,https://n.news.naver.com/mnews/article/003/0012213876?sid=105,0
10002,https://n.news.naver.com/mnews/article/001/0014335318?sid=105,0
10006,https://n.news.naver.com/mnews/article/001/0014335314?sid=105,0
10009,https://n.news.naver.com/mnews/article/001/0014335311?sid=105,0
10015,https://n.news.naver.com/mnews/article/003/0012213689?sid=105,0
10016,https://n.news.naver.com/mnews/article/011/0004262291?sid=105,0
10017,https://n.news.naver.com/mnews/article/648/0000021071?sid=105,0
10038,https://n.news.naver.com/mnews/article/092/0002311694?sid=105,0
10563,https://n.news.naver.com/mnews/article/018/0005621448?sid=105,0
10575,https://n.news.naver.com/mnews/article/018/0005621346?sid=105,0
10576,https://n.news.naver.com/mnews/article/018/0005621342?sid=105,0
10577,https://n.news.naver.com/mnews/article/011/0004262540?sid=105,0
10588,https://n.news.naver.com/mnews/article/014/0005101987?sid=105,0
10589,https://n.news.naver.com/mnews/article/018/0005621265?sid=105,0
10591,https://n.news.naver.com/mnews/article/018/0005621263?sid=105,0
10604,https://n.news.naver.com/mnews/article/018/0005621181?sid=105,0
10613,https://n.news.naver.com/mnews/article/092/0002311721?sid=105,0
10615,https://n.news.naver.com/mnews/article/092/0002311719?sid=105,0
10618,https://n.news.naver.com/mnews/article/011/0004262291?sid=105,0
10642,https://n.news.naver.com/mnews/article/018/0005620896?sid=105,0
10655,https://n.news.naver.com/mnews/article/092/0002311644?sid=105,0
10657,https://n.news.naver.com/mnews/article/011/0004262064?sid=105,0
10753,https://n.news.naver.com/mnews/article/018/0005621438?sid=105,0
10761,https://n.news.naver.com/mnews/article/015/0004914963?sid=105,0
10763,https://n.news.naver.com/mnews/article/014/0005102023?sid=105,0
10785,https://n.news.naver.com/mnews/article/366/0000948222?sid=105,0
10788,https://n.news.naver.com/mnews/article/366/0000948219?sid=105,0
10803,https://n.news.naver.com/mnews/article/029/0002837528?sid=105,0
10808,https://n.news.naver.com/mnews/article/138/0002160992?sid=105,0
10811,https://n.news.naver.com/mnews/article/366/0000948198?sid=105,0
10815,https://n.news.naver.com/mnews/article/030/0003157484?sid=105,0
10816,https://n.news.naver.com/mnews/article/366/0000948193?sid=105,0
10817,https://n.news.naver.com/mnews/article/029/0002837525?sid=105,0
10823,https://n.news.naver.com/mnews/article/366/0000948182?sid=105,0
10824,https://n.news.naver.com/mnews/article/030/0003157460?sid=105,0
10825,https://n.news.naver.com/mnews/article/014/0005101920?sid=105,0
10826,https://n.news.naver.com/mnews/article/366/0000948173?sid=105,0
10827,https://n.news.naver.com/mnews/article/092/0002311740?sid=105,0
10834,https://n.news.naver.com/mnews/article/092/0002311733?sid=105,0
10835,https://n.news.naver.com/mnews/article/015/0004914854?sid=105,0
10838,https://n.news.naver.com/mnews/article/366/0000948155?sid=105,0
10845,https://n.news.naver.com/mnews/article/366/0000948118?sid=105,0
10849,https://n.news.naver.com/mnews/article/366/0000948097?sid=105,0
10851,https://n.news.naver.com/mnews/article/011/0004262291?sid=105,0
10852,https://n.news.naver.com/mnews/article/030/0003157310?sid=105,0
10854,https://n.news.naver.com/mnews/article/366/0000948090?sid=105,0
10855,https://n.news.naver.com/mnews/article/119/0002769832?sid=105,0
10856,https://n.news.naver.com/mnews/article/031/0000788733?sid=105,0
10857,https://n.news.naver.com/mnews/article/366/0000948083?sid=105,0
10865,https://n.news.naver.com/mnews/article/366/0000948066?sid=105,0
10867,https://n.news.naver.com/mnews/article/421/0007180094?sid=105,0
10869,https://n.news.naver.com/mnews/article/277/0005341737?sid=105,0
10870,https://n.news.naver.com/mnews/article/014/0005101710?sid=105,0
10917,https://n.news.naver.com/mnews/article/421/0007179402?sid=105,0
10929,https://n.news.naver.com/mnews/article/421/0007179402?sid=105,0
10941,https://n.news.naver.com/mnews/article/421/0007179402?sid=105,0
10953,https://n.news.naver.com/mnews/article/421/0007179402?sid=105,0
10965,https://n.news.naver.com/mnews/article/421/0007179402?sid=105,0
10977,https://n.news.naver.com/mnews/article/421/0007179402?sid=105,0
10989,https://n.news.naver.com/mnews/article/421/0007179402?sid=105,0
11001,https://n.news.naver.com/mnews/article/421/0007179402?sid=105,0
11013,https://n.news.naver.com/mnews/article/421/0007179402?sid=105,0
11025,https://n.news.naver.com/mnews/article/421/0007179402?sid=105,0
11037,https://n.news.naver.com/mnews/article/421/0007179402?sid=105,0
11049,https://n.news.naver.com/mnews/article/421/0007179402?sid=105,0
11061,https://n.news.naver.com/mnews/article/421/0007179402?sid=105,0
11073,https://n.news.naver.com/mnews/article/421/0007179402?sid=105,0
11085,https://n.news.naver.com/mnews/article/421/0007179402?sid=105,0
11097,https://n.news.naver.com/mnews/article/421/0007179402?sid=105,0
11109,https://n.news.naver.com/mnews/article/421/0007179402?sid=105,0
11121,https://n.news.naver.com/mnews/article/421/0007179402?sid=105,0
11133,https://n.news.naver.com/mnews/article/421/0007179402?sid=105,0
11145,https://n.news.naver.com/mnews/article/421/0007179402?sid=105,0
11157,https://n.news.naver.com/mnews/article/421/0007179402?sid=105,0
11169,https://n.news.naver.com/mnews/article/421/0007179402?sid=105,0
11181,https://n.news.naver.com/mnews/article/421/0007179402?sid=105,0
11193,https://n.news.naver.com/mnews/article/421/0007179402?sid=105,0
11205,https://n.news.naver.com/mnews/article/421/0007179402?sid=105,0
11217,https://n.news.naver.com/mnews/article/421/0007179402?sid=105,0
11229,https://n.news.naver.com/mnews/article/421/0007179402?sid=105,0
11241,https://n.news.naver.com/mnews/article/421/0007179402?sid=105,0
11253,https://n.news.naver.com/mnews/article/421/0007179402?sid=105,0
11265,https://n.news.naver.com/mnews/article/421/0007179402?sid=105,0
11277,https://n.news.naver.com/mnews/article/421/0007179402?sid=105,0
11289,https://n.news.naver.com/mnews/article/421/0007179402?sid=105,0
11301,https://n.news.naver.com/mnews/article/421/0007179402?sid=105,0
11313,https://n.news.naver.com/mnews/article/421/0007179402?sid=105,0
11325,https://n.news.naver.com/mnews/article/421/0007179402?sid=105,0
11337,https://n.news.naver.com/mnews/article/421/0007179402?sid=105,0
11349,https://n.news.naver.com/mnews/article/421/0007179402?sid=105,0
11361,https://n.news.naver.com/mnews/article/421/0007179402?sid=105,0
11373,https://n.news.naver.com/mnews/article/421/0007179402?sid=105,0
11385,https://n.news.naver.com/mnews/article/421/0007179402?sid=105,0
11397,https://n.news.naver.com/mnews/article/421/0007179402?sid=105,0
11409,https://n.news.naver.com/mnews/article/421/0007179402?sid=105,0
11435,https://n.news.naver.com/mnews/article/029/0002837572?sid=105,0
