,urls,labels
149,https://n.news.naver.com/mnews/article/421/0007180991?sid=101,1
150,https://n.news.naver.com/mnews/article/421/0007180990?sid=101,1
777,https://n.news.naver.com/mnews/article/215/0001134760?sid=101,1
2197,https://n.news.naver.com/mnews/article/015/0004914890?sid=101,1
2458,https://n.news.naver.com/mnews/article/011/0004262316?sid=101,1
2538,https://n.news.naver.com/mnews/article/421/0007180503?sid=101,1
3769,https://n.news.naver.com/mnews/article/001/0014334936?sid=101,1
4648,https://n.news.naver.com/mnews/article/082/0001242118?sid=101,1
4738,https://n.news.naver.com/mnews/article/009/0005216174?sid=101,1
4821,https://n.news.naver.com/mnews/article/001/0014336159?sid=101,1
5566,https://n.news.naver.com/mnews/article/421/0007180646?sid=102,1
5952,https://n.news.naver.com/mnews/article/032/0003261694?sid=102,1
7681,https://n.news.naver.com/mnews/article/056/0011604065?sid=102,1
7740,https://n.news.naver.com/mnews/article/056/0011603980?sid=102,1
8019,https://n.news.naver.com/mnews/article/056/0011603832?sid=102,1
9107,https://n.news.naver.com/mnews/article/056/0011604065?sid=102,1
9127,https://n.news.naver.com/mnews/article/056/0011604022?sid=102,1
9166,https://n.news.naver.com/mnews/article/056/0011603980?sid=102,1
9560,https://n.news.naver.com/mnews/article/056/0011603832?sid=102,1
11421,https://n.news.naver.com/mnews/article/056/0011604018?sid=105,1
11422,https://n.news.naver.com/mnews/article/056/0011603992?sid=105,1
11517,https://n.news.naver.com/mnews/article/468/0001002920?sid=105,1
