,urls,labels
65,https://n.news.naver.com/mnews/article/119/0002769950?sid=101,2
83,https://n.news.naver.com/mnews/article/003/0012214397?sid=101,2
98,https://n.news.naver.com/mnews/article/421/0007181226?sid=101,2
99,https://n.news.naver.com/mnews/article/421/0007181225?sid=101,2
135,https://n.news.naver.com/mnews/article/021/0002605538?sid=101,2
148,https://n.news.naver.com/mnews/article/421/0007180992?sid=101,2
151,https://n.news.naver.com/mnews/article/421/0007180989?sid=101,2
152,https://n.news.naver.com/mnews/article/421/0007180988?sid=101,2
155,https://n.news.naver.com/mnews/article/421/0007180972?sid=101,2
209,https://n.news.naver.com/mnews/article/001/0014335534?sid=101,2
216,https://n.news.naver.com/mnews/article/277/0005341823?sid=101,2
231,https://n.news.naver.com/mnews/article/001/0014335398?sid=101,2
324,https://n.news.naver.com/mnews/article/003/0012213200?sid=101,2
433,https://n.news.naver.com/mnews/article/119/0002769695?sid=101,2
494,https://n.news.naver.com/mnews/article/417/0000962454?sid=101,2
784,https://n.news.naver.com/mnews/article/031/0000788983?sid=101,2
787,https://n.news.naver.com/mnews/article/031/0000788980?sid=101,2
792,https://n.news.naver.com/mnews/article/029/0002837589?sid=101,2
795,https://n.news.naver.com/mnews/article/029/0002837583?sid=101,2
805,https://n.news.naver.com/mnews/article/018/0005621386?sid=101,2
844,https://n.news.naver.com/mnews/article/018/0005621339?sid=101,2
866,https://n.news.naver.com/mnews/article/011/0004262513?sid=101,2
882,https://n.news.naver.com/mnews/article/009/0005216285?sid=101,2
907,https://n.news.naver.com/mnews/article/009/0005216213?sid=101,2
920,https://n.news.naver.com/mnews/article/011/0004262481?sid=101,2
1007,https://n.news.naver.com/mnews/article/648/0000021084?sid=101,2
1037,https://n.news.naver.com/mnews/article/011/0004262445?sid=101,2
1046,https://n.news.naver.com/mnews/article/018/0005621198?sid=101,2
1080,https://n.news.naver.com/mnews/article/015/0004914870?sid=101,2
1105,https://n.news.naver.com/mnews/article/018/0005621144?sid=101,2
1138,https://n.news.naver.com/mnews/article/014/0005101834?sid=101,2
1182,https://n.news.naver.com/mnews/article/277/0005341801?sid=101,2
1197,https://n.news.naver.com/mnews/article/014/0005101804?sid=101,2
1233,https://n.news.naver.com/mnews/article/366/0000948082?sid=101,2
1290,https://n.news.naver.com/mnews/article/008/0004962525?sid=101,2
1301,https://n.news.naver.com/mnews/article/016/0002225648?sid=101,2
1338,https://n.news.naver.com/mnews/article/003/0012213200?sid=101,2
1356,https://n.news.naver.com/mnews/article/277/0005341701?sid=101,2
1384,https://n.news.naver.com/mnews/article/003/0012213118?sid=101,2
1385,https://n.news.naver.com/mnews/article/003/0012213117?sid=101,2
1387,https://n.news.naver.com/mnews/article/003/0012213115?sid=101,2
1412,https://n.news.naver.com/mnews/article/215/0001134629?sid=101,2
1414,https://n.news.naver.com/mnews/article/014/0005101659?sid=101,2
1415,https://n.news.naver.com/mnews/article/018/0005620942?sid=101,2
1418,https://n.news.naver.com/mnews/article/215/0001134628?sid=101,2
1447,https://n.news.naver.com/mnews/article/003/0012213028?sid=101,2
1486,https://n.news.naver.com/mnews/article/003/0012212975?sid=101,2
1493,https://n.news.naver.com/mnews/article/015/0004914722?sid=101,2
1519,https://n.news.naver.com/mnews/article/011/0004262142?sid=101,2
1526,https://n.news.naver.com/mnews/article/008/0004962420?sid=101,2
1571,https://n.news.naver.com/mnews/article/031/0000788593?sid=101,2
1581,https://n.news.naver.com/mnews/article/018/0005620774?sid=101,2
1619,https://n.news.naver.com/mnews/article/277/0005341491?sid=101,2
1623,https://n.news.naver.com/mnews/article/008/0004962360?sid=101,2
1642,https://n.news.naver.com/mnews/article/008/0004962357?sid=101,2
1664,https://n.news.naver.com/mnews/article/018/0005620718?sid=101,2
1669,https://n.news.naver.com/mnews/article/018/0005620714?sid=101,2
1689,https://n.news.naver.com/mnews/article/119/0002769618?sid=101,2
1705,https://n.news.naver.com/mnews/article/421/0007178939?sid=101,2
1708,https://n.news.naver.com/mnews/article/421/0007178932?sid=101,2
1727,https://n.news.naver.com/mnews/article/014/0005101506?sid=101,2
1777,https://n.news.naver.com/mnews/article/011/0004262590?sid=101,2
1788,https://n.news.naver.com/mnews/article/029/0002837591?sid=101,2
1790,https://n.news.naver.com/mnews/article/029/0002837590?sid=101,2
1792,https://n.news.naver.com/mnews/article/003/0012214820?sid=101,2
1796,https://n.news.naver.com/mnews/article/016/0002225933?sid=101,2
1797,https://n.news.naver.com/mnews/article/469/0000770693?sid=101,2
1801,https://n.news.naver.com/mnews/article/029/0002837577?sid=101,2
1803,https://n.news.naver.com/mnews/article/029/0002837576?sid=101,2
1809,https://n.news.naver.com/mnews/article/016/0002225930?sid=101,2
1829,https://n.news.naver.com/mnews/article/366/0000948259?sid=101,2
1858,https://n.news.naver.com/mnews/article/015/0004914971?sid=101,2
1860,https://n.news.naver.com/mnews/article/014/0005102055?sid=101,2
1862,https://n.news.naver.com/mnews/article/014/0005102052?sid=101,2
1863,https://n.news.naver.com/mnews/article/014/0005102051?sid=101,2
1890,https://n.news.naver.com/mnews/article/011/0004262536?sid=101,2
1895,https://n.news.naver.com/mnews/article/050/0000069591?sid=101,2
1901,https://n.news.naver.com/mnews/article/008/0004962801?sid=101,2
1908,https://n.news.naver.com/mnews/article/011/0004262513?sid=101,2
1912,https://n.news.naver.com/mnews/article/003/0012214621?sid=101,2
1914,https://n.news.naver.com/mnews/article/015/0004914944?sid=101,2
1915,https://n.news.naver.com/mnews/article/119/0002769974?sid=101,2
1923,https://n.news.naver.com/mnews/article/015/0004914942?sid=101,2
1927,https://n.news.naver.com/mnews/article/008/0004962793?sid=101,2
1935,https://n.news.naver.com/mnews/article/001/0014336327?sid=101,2
1946,https://n.news.naver.com/mnews/article/009/0005216273?sid=101,2
1947,https://n.news.naver.com/mnews/article/009/0005216272?sid=101,2
1953,https://n.news.naver.com/mnews/article/008/0004962783?sid=101,2
1954,https://n.news.naver.com/mnews/article/009/0005216240?sid=101,2
1958,https://n.news.naver.com/mnews/article/277/0005341981?sid=101,2
1969,https://n.news.naver.com/mnews/article/421/0007181448?sid=101,2
1981,https://n.news.naver.com/mnews/article/008/0004962770?sid=101,2
1984,https://n.news.naver.com/mnews/article/022/0003875785?sid=101,2
2014,https://n.news.naver.com/mnews/article/032/0003261703?sid=101,2
2024,https://n.news.naver.com/mnews/article/215/0001134714?sid=101,2
2059,https://n.news.naver.com/mnews/article/648/0000021084?sid=101,2
2074,https://n.news.naver.com/mnews/article/001/0014336115?sid=101,2
2077,https://n.news.naver.com/mnews/article/003/0012214387?sid=101,2
2080,https://n.news.naver.com/mnews/article/001/0014336103?sid=101,2
2104,https://n.news.naver.com/mnews/article/011/0004262445?sid=101,2
2107,https://n.news.naver.com/mnews/article/366/0000948204?sid=101,2
2123,https://n.news.naver.com/mnews/article/001/0014336029?sid=101,2
2128,https://n.news.naver.com/mnews/article/050/0000069583?sid=101,2
2141,https://n.news.naver.com/mnews/article/003/0012214319?sid=101,2
2143,https://n.news.naver.com/mnews/article/011/0004262436?sid=101,2
2186,https://n.news.naver.com/mnews/article/032/0003261679?sid=101,2
2217,https://n.news.naver.com/mnews/article/011/0004262421?sid=101,2
2223,https://n.news.naver.com/mnews/article/009/0005216069?sid=101,2
2226,https://n.news.naver.com/mnews/article/015/0004914880?sid=101,2
2234,https://n.news.naver.com/mnews/article/003/0012214172?sid=101,2
2252,https://n.news.naver.com/mnews/article/001/0014335845?sid=101,2
2270,https://n.news.naver.com/mnews/article/009/0005216046?sid=101,2
2275,https://n.news.naver.com/mnews/article/003/0012214068?sid=101,2
2277,https://n.news.naver.com/mnews/article/009/0005216043?sid=101,2
2280,https://n.news.naver.com/mnews/article/011/0004262393?sid=101,2
2281,https://n.news.naver.com/mnews/article/018/0005621158?sid=101,2
2282,https://n.news.naver.com/mnews/article/421/0007180959?sid=101,2
2286,https://n.news.naver.com/mnews/article/421/0007180952?sid=101,2
2289,https://n.news.naver.com/mnews/article/001/0014335775?sid=101,2
2317,https://n.news.naver.com/mnews/article/003/0012214028?sid=101,2
2321,https://n.news.naver.com/mnews/article/030/0003157416?sid=101,2
2335,https://n.news.naver.com/mnews/article/011/0004262370?sid=101,2
2351,https://n.news.naver.com/mnews/article/011/0004262360?sid=101,2
2361,https://n.news.naver.com/mnews/article/011/0004262355?sid=101,2
2364,https://n.news.naver.com/mnews/article/009/0005216012?sid=101,2
2377,https://n.news.naver.com/mnews/article/366/0000948145?sid=101,2
2405,https://n.news.naver.com/mnews/article/008/0004962600?sid=101,2
2413,https://n.news.naver.com/mnews/article/003/0012213882?sid=101,2
2415,https://n.news.naver.com/mnews/article/001/0014335540?sid=101,2
2416,https://n.news.naver.com/mnews/article/003/0012213878?sid=101,2
2420,https://n.news.naver.com/mnews/article/243/0000052830?sid=101,2
2428,https://n.news.naver.com/mnews/article/011/0004262323?sid=101,2
2448,https://n.news.naver.com/mnews/article/119/0002769871?sid=101,2
2463,https://n.news.naver.com/mnews/article/417/0000962610?sid=101,2
2495,https://n.news.naver.com/mnews/article/008/0004962568?sid=101,2
2521,https://n.news.naver.com/mnews/article/215/0001134668?sid=101,2
2531,https://n.news.naver.com/mnews/article/417/0000962596?sid=101,2
2545,https://n.news.naver.com/mnews/article/001/0014335342?sid=101,2
2569,https://n.news.naver.com/mnews/article/003/0012213677?sid=101,2
2583,https://n.news.naver.com/mnews/article/215/0001134657?sid=101,2
2614,https://n.news.naver.com/mnews/article/001/0014335116?sid=101,2
2617,https://n.news.naver.com/mnews/article/421/0007180286?sid=101,2
2622,https://n.news.naver.com/mnews/article/031/0000788718?sid=101,2
2635,https://n.news.naver.com/mnews/article/016/0002225697?sid=101,2
2641,https://n.news.naver.com/mnews/article/009/0005215910?sid=101,2
2644,https://n.news.naver.com/mnews/article/021/0002605451?sid=101,2
2654,https://n.news.naver.com/mnews/article/277/0005341758?sid=101,2
2661,https://n.news.naver.com/mnews/article/021/0002605432?sid=101,2
2665,https://n.news.naver.com/mnews/article/029/0002837452?sid=101,2
2675,https://n.news.naver.com/mnews/article/016/0002225664?sid=101,2
2708,https://n.news.naver.com/mnews/article/008/0004962507?sid=101,2
2712,https://n.news.naver.com/mnews/article/417/0000962577?sid=101,2
2716,https://n.news.naver.com/mnews/article/215/0001134645?sid=101,2
2747,https://n.news.naver.com/mnews/article/001/0014334878?sid=101,2
2786,https://n.news.naver.com/mnews/article/011/0004262536?sid=101,2
2789,https://n.news.naver.com/mnews/article/003/0012214621?sid=101,2
2790,https://n.news.naver.com/mnews/article/015/0004914944?sid=101,2
2800,https://n.news.naver.com/mnews/article/011/0004262483?sid=101,2
2892,https://n.news.naver.com/mnews/article/030/0003157327?sid=101,2
2908,https://n.news.naver.com/mnews/article/421/0007180286?sid=101,2
2916,https://n.news.naver.com/mnews/article/421/0007180163?sid=101,2
2942,https://n.news.naver.com/mnews/article/014/0005101673?sid=101,2
2968,https://n.news.naver.com/mnews/article/016/0002225544?sid=101,2
2988,https://n.news.naver.com/mnews/article/008/0004962432?sid=101,2
3018,https://n.news.naver.com/mnews/article/421/0007179407?sid=101,2
3489,https://n.news.naver.com/mnews/article/119/0002769960?sid=101,2
3534,https://n.news.naver.com/mnews/article/119/0002769941?sid=101,2
3604,https://n.news.naver.com/mnews/article/119/0002769897?sid=101,2
3666,https://n.news.naver.com/mnews/article/119/0002769843?sid=101,2
3703,https://n.news.naver.com/mnews/article/003/0012213677?sid=101,2
3735,https://n.news.naver.com/mnews/article/029/0002837470?sid=101,2
3880,https://n.news.naver.com/mnews/article/421/0007179702?sid=101,2
3944,https://n.news.naver.com/mnews/article/421/0007179444?sid=101,2
3967,https://n.news.naver.com/mnews/article/421/0007179278?sid=101,2
3994,https://n.news.naver.com/mnews/article/003/0012212377?sid=101,2
4005,https://n.news.naver.com/mnews/article/016/0002225420?sid=101,2
4277,https://n.news.naver.com/mnews/article/144/0000926066?sid=101,2
4288,https://n.news.naver.com/mnews/article/056/0011604114?sid=101,2
4291,https://n.news.naver.com/mnews/article/056/0011604105?sid=101,2
4322,https://n.news.naver.com/mnews/article/056/0011604092?sid=101,2
4340,https://n.news.naver.com/mnews/article/056/0011603962?sid=101,2
4399,https://n.news.naver.com/mnews/article/016/0002225933?sid=101,2
4407,https://n.news.naver.com/mnews/article/029/0002837582?sid=101,2
4408,https://n.news.naver.com/mnews/article/029/0002837581?sid=101,2
4409,https://n.news.naver.com/mnews/article/029/0002837580?sid=101,2
4410,https://n.news.naver.com/mnews/article/029/0002837579?sid=101,2
4411,https://n.news.naver.com/mnews/article/029/0002837578?sid=101,2
4426,https://n.news.naver.com/mnews/article/016/0002225930?sid=101,2
4427,https://n.news.naver.com/mnews/article/003/0012214808?sid=101,2
4448,https://n.news.naver.com/mnews/article/023/0003799594?sid=101,2
4502,https://n.news.naver.com/mnews/article/082/0001242151?sid=101,2
4592,https://n.news.naver.com/mnews/article/081/0003409315?sid=101,2
4627,https://n.news.naver.com/mnews/article/001/0014336327?sid=101,2
4703,https://n.news.naver.com/mnews/article/123/0002320899?sid=101,2
4747,https://n.news.naver.com/mnews/article/032/0003261703?sid=101,2
4757,https://n.news.naver.com/mnews/article/082/0001242102?sid=101,2
4761,https://n.news.naver.com/mnews/article/119/0002769954?sid=101,2
4825,https://n.news.naver.com/mnews/article/001/0014336156?sid=101,2
4857,https://n.news.naver.com/mnews/article/660/0000049442?sid=101,2
4887,https://n.news.naver.com/mnews/article/009/0005216123?sid=101,2
4892,https://n.news.naver.com/mnews/article/009/0005216118?sid=101,2
4894,https://n.news.naver.com/mnews/article/009/0005216116?sid=101,2
4898,https://n.news.naver.com/mnews/article/009/0005216112?sid=101,2
4928,https://n.news.naver.com/mnews/article/005/0001652642?sid=101,2
4935,https://n.news.naver.com/mnews/article/003/0012214319?sid=101,2
4979,https://n.news.naver.com/mnews/article/055/0001106481?sid=101,2
4993,https://n.news.naver.com/mnews/article/032/0003261679?sid=101,2
4996,https://n.news.naver.com/mnews/article/658/0000058200?sid=101,2
4997,https://n.news.naver.com/mnews/article/088/0000846389?sid=101,2
5001,https://n.news.naver.com/mnews/article/076/0004079483?sid=101,2
5037,https://n.news.naver.com/mnews/article/277/0005341887?sid=101,2
5039,https://n.news.naver.com/mnews/article/005/0001652620?sid=101,2
5041,https://n.news.naver.com/mnews/article/003/0012214172?sid=101,2
5046,https://n.news.naver.com/mnews/article/014/0005101918?sid=101,2
5058,https://n.news.naver.com/mnews/article/001/0014335845?sid=101,2
5077,https://n.news.naver.com/mnews/article/382/0001088147?sid=101,2
5078,https://n.news.naver.com/mnews/article/020/0003531589?sid=101,2
5092,https://n.news.naver.com/mnews/article/003/0012214068?sid=101,2
5097,https://n.news.naver.com/mnews/article/009/0005216043?sid=101,2
5099,https://n.news.naver.com/mnews/article/011/0004262393?sid=101,2
5107,https://n.news.naver.com/mnews/article/029/0002837509?sid=101,2
5115,https://n.news.naver.com/mnews/article/082/0001242066?sid=101,2
5116,https://n.news.naver.com/mnews/article/277/0005341868?sid=101,2
5121,https://n.news.naver.com/mnews/article/030/0003157422?sid=101,2
5131,https://n.news.naver.com/mnews/article/003/0012214028?sid=101,2
5164,https://n.news.naver.com/mnews/article/123/0002320877?sid=101,2
5177,https://n.news.naver.com/mnews/article/640/0000045965?sid=101,2
5180,https://n.news.naver.com/mnews/article/277/0005341848?sid=101,2
5271,https://n.news.naver.com/mnews/article/003/0012213882?sid=101,2
5276,https://n.news.naver.com/mnews/article/001/0014335540?sid=101,2
5534,https://n.news.naver.com/mnews/article/469/0000770607?sid=102,2
5968,https://n.news.naver.com/mnews/article/003/0012214243?sid=102,2
7179,https://n.news.naver.com/mnews/article/032/0003261703?sid=102,2
7184,https://n.news.naver.com/mnews/article/001/0014336156?sid=102,2
7205,https://n.news.naver.com/mnews/article/421/0007180959?sid=102,2
7207,https://n.news.naver.com/mnews/article/001/0014335775?sid=102,2
7280,https://n.news.naver.com/mnews/article/001/0014333752?sid=102,2
7287,https://n.news.naver.com/mnews/article/001/0014333752?sid=102,2
7294,https://n.news.naver.com/mnews/article/001/0014333752?sid=102,2
7301,https://n.news.naver.com/mnews/article/001/0014333752?sid=102,2
7308,https://n.news.naver.com/mnews/article/001/0014333752?sid=102,2
7315,https://n.news.naver.com/mnews/article/001/0014333752?sid=102,2
7322,https://n.news.naver.com/mnews/article/001/0014333752?sid=102,2
7329,https://n.news.naver.com/mnews/article/001/0014333752?sid=102,2
7336,https://n.news.naver.com/mnews/article/001/0014333752?sid=102,2
7343,https://n.news.naver.com/mnews/article/001/0014333752?sid=102,2
7350,https://n.news.naver.com/mnews/article/001/0014333752?sid=102,2
7357,https://n.news.naver.com/mnews/article/001/0014333752?sid=102,2
7364,https://n.news.naver.com/mnews/article/001/0014333752?sid=102,2
7371,https://n.news.naver.com/mnews/article/001/0014333752?sid=102,2
7378,https://n.news.naver.com/mnews/article/001/0014333752?sid=102,2
7385,https://n.news.naver.com/mnews/article/001/0014333752?sid=102,2
7392,https://n.news.naver.com/mnews/article/001/0014333752?sid=102,2
7399,https://n.news.naver.com/mnews/article/001/0014333752?sid=102,2
7406,https://n.news.naver.com/mnews/article/001/0014333752?sid=102,2
7413,https://n.news.naver.com/mnews/article/001/0014333752?sid=102,2
7420,https://n.news.naver.com/mnews/article/001/0014333752?sid=102,2
7427,https://n.news.naver.com/mnews/article/001/0014333752?sid=102,2
7434,https://n.news.naver.com/mnews/article/001/0014333752?sid=102,2
7441,https://n.news.naver.com/mnews/article/001/0014333752?sid=102,2
7448,https://n.news.naver.com/mnews/article/001/0014333752?sid=102,2
7455,https://n.news.naver.com/mnews/article/001/0014333752?sid=102,2
7462,https://n.news.naver.com/mnews/article/001/0014333752?sid=102,2
7469,https://n.news.naver.com/mnews/article/001/0014333752?sid=102,2
7476,https://n.news.naver.com/mnews/article/001/0014333752?sid=102,2
7483,https://n.news.naver.com/mnews/article/001/0014333752?sid=102,2
7490,https://n.news.naver.com/mnews/article/001/0014333752?sid=102,2
7497,https://n.news.naver.com/mnews/article/001/0014333752?sid=102,2
7504,https://n.news.naver.com/mnews/article/001/0014333752?sid=102,2
7511,https://n.news.naver.com/mnews/article/001/0014333752?sid=102,2
7518,https://n.news.naver.com/mnews/article/001/0014333752?sid=102,2
7525,https://n.news.naver.com/mnews/article/001/0014333752?sid=102,2
7532,https://n.news.naver.com/mnews/article/001/0014333752?sid=102,2
7539,https://n.news.naver.com/mnews/article/001/0014333752?sid=102,2
7546,https://n.news.naver.com/mnews/article/001/0014333752?sid=102,2
7553,https://n.news.naver.com/mnews/article/001/0014333752?sid=102,2
7560,https://n.news.naver.com/mnews/article/001/0014333752?sid=102,2
7567,https://n.news.naver.com/mnews/article/001/0014333752?sid=102,2
7574,https://n.news.naver.com/mnews/article/001/0014333752?sid=102,2
7581,https://n.news.naver.com/mnews/article/001/0014333752?sid=102,2
7587,https://n.news.naver.com/mnews/article/056/0011604129?sid=102,2
7599,https://n.news.naver.com/mnews/article/056/0011604114?sid=102,2
7687,https://n.news.naver.com/mnews/article/056/0011604092?sid=102,2
7832,https://n.news.naver.com/mnews/article/014/0005102142?sid=102,2
7904,https://n.news.naver.com/mnews/article/003/0012214820?sid=102,2
8021,https://n.news.naver.com/mnews/article/001/0014336522?sid=102,2
8346,https://n.news.naver.com/mnews/article/088/0000846475?sid=102,2
8401,https://n.news.naver.com/mnews/article/014/0005102015?sid=102,2
8429,https://n.news.naver.com/mnews/article/008/0004962799?sid=102,2
8434,https://n.news.naver.com/mnews/article/421/0007181550?sid=102,2
8436,https://n.news.naver.com/mnews/article/003/0012214621?sid=102,2
